Beta,Gamma,Rho,k,Eta,N,loglik,loglik.se
3.4254158252449973,1.5772547570397628,0.054177061003515416,4.828218710161828,0.556675031838753,38000.00000000002,-103.4747970993613,0.052173313801395574
6.9469980978651575,1.1783769361812257,0.10744510222702501,4.103195288998423,0.22586708729825883,38000,-103.47533371786585,0.04307031492925469
5.884230674544462,1.0805498803485496,0.09085761386332301,4.6507025725238185,0.2571160606724218,37999.999999999985,-103.4758678661482,0.035907817685761505
6.7843256805426275,1.0506249873461824,0.1089747234063813,4.202964752473658,0.21691479497337585,38000.000000000015,-103.47689240554762,0.04851019514643101
9.988050461574902,0.7974344156325679,0.1528140607664243,4.101656373468483,0.1283251671465702,37999.999999999985,-103.47718655817609,0.04029314812366434
2.3498112694099103,2.0242526493379556,0.03710085413694588,4.9094587985055815,0.9531833192183092,37999.999999999956,-103.47729868262618,0.042325313854252124
4.766982265960795,1.4640704601127064,0.07200533496757203,4.565227506886553,0.38489799769123245,38000.000000000015,-103.47776215983554,0.05053219948424858
6.5956492602458425,1.250475478813736,0.10554350145434553,4.546540297524242,0.2468464910285647,38000.00000000002,-103.47830946488315,0.03892362998556915
4.838605957063592,1.3098562751751683,0.0756509018584468,4.792038626582787,0.3508110359086581,38000.00000000001,-103.47840596931746,0.034009375232117715
5.870474993580296,1.2605397675909085,0.08669797965393038,4.443855496706079,0.284040841331449,38000.00000000001,-103.47884381781599,0.035645204445510566
11.711919996179725,0.7703327818474813,0.17944834802760312,4.532050036141817,0.10674068927125165,38000,-103.47885804681677,0.04887206764555243
7.4417761420964466,0.8938627950279513,0.11429554557295322,4.814789502977777,0.18182246487568224,37999.99999999995,-103.47914055723061,0.03365074778279233
9.917151013021488,0.8952158282462138,0.15440019309572736,4.11743319824581,0.13715996465035932,37999.99999999998,-103.47951729514111,0.039509476114564394
9.67821658206543,0.8231515385321809,0.15181167211079669,4.494607351787318,0.13369309110475688,37999.999999999956,-103.47972719056587,0.06962620907100821
7.267681807931877,1.069140865346123,0.11090094162598035,4.048440563731812,0.20693887867858277,37999.99999999999,-103.47977805182583,0.03515268098463599
11.36533085091034,0.839197305631744,0.17908213690824595,4.000171182643868,0.11522816686828741,38000.000000000044,-103.48049283878139,0.04634494213851565
2.5569859708447145,1.980550360308493,0.039521730062455664,4.892415583367624,0.8600891330879934,37999.99999999998,-103.48238307003997,0.045560841201120326
